Chapter_8_p218,paragraph,anne suppressed a smile and listened kindly while mrs musgrove relieved her heart a little more and for a few minutes therefore could not keep pace with the conversation of the others 
Chapter_20_p691,paragraph,while they were speaking a whispering between her father and elizabeth caught her ear she could not distinguish but she must guess the subject and on captain wentworth making a distant bow she comprehended that her father had judged so well as to give him that simple acknowledgement of acquaintance and she was just in time by a side glance to see a slight curtsey from elizabeth herself this though late and reluctant and ungracious was yet better than nothing and her spirits improved 
Chapter_18_p606,paragraph,anne could listen no longer she could not even have told how the poor admiral complexion escaped her letter engrossed her it had been begun several days back 
Chapter_11_p360,paragraph,the first heedless scheme had been to go in the morning and return at night but to this mr musgrove for the sake of his horses would not consent and when it came to be rationally considered a day in the middle of november would not leave much time for seeing a new place after deducting seven hours as the nature of the country required for going and returning they were consequently to stay the night there and not to be expected back till the next day dinner this was felt to be a considerable amendment and though they all met at the great house at rather an early breakfast hour and set off very punctually it was so much past noon before the two carriages mr musgrove coach containing the four ladies and charles curricle in which he drove captain wentworth were descending the long hill into lyme and entering upon the still steeper street of the town itself that it was very evident they would not have more than time for looking about them before the light and warmth of the day were gone 
Chapter_3_p54,paragraph, the profession has its utility but i should be sorry to see any friend of mine belonging to it 
Chapter_19_p667,paragraph,after a moment pause he said: though i came only yesterday i have equipped myself properly for bath already you see (pointing to a new umbrella) i wish you would make use of it if you are determined to walk though i think it would be more prudent to let me get you a chair 
Chapter_23_p951,paragraph,mrs croft left them and captain wentworth having sealed his letter with great rapidity was indeed ready and had even a hurried agitated air which shewed impatience to be gone anne knew not how to understand it she had the kindest good morning god bless you from captain harville but from him not a word nor a look he had passed out of the room without a look 
Chapter_18_p617,paragraph, have they any acquaintance here asked elizabeth 
Chapter_11_p370,paragraph,captain harville was no reader but he had contrived excellent accommodations and fashioned very pretty shelves for a tolerable collection of well bound volumes the property of captain benwick his lameness prevented him from taking much exercise but a mind of usefulness and ingenuity seemed to furnish him with constant employment within he drew he varnished he carpentered he glued he made toys for the children he fashioned new netting needles and pins with improvements and if everything else was done sat down to his large fishing net at one corner of the room 
Chapter_9_p304,paragraph,her sensations on the discovery made her perfectly speechless she could not even thank him she could only hang over little charles with most disordered feelings his kindness in stepping forward to her relief the manner the silence in which it had passed the little particulars of the circumstance with the conviction soon forced on her by the noise he was studiously making with the child that he meant to avoid hearing her thanks and rather sought to testify that her conversation was the last of his wants produced such a confusion of varying but very painful agitation as she could not recover from till enabled by the entrance of mary and the miss musgroves to make over her little patient to their cares and leave the room she could not stay it might have been an opportunity of watching the loves and jealousies of the four they were now altogether but she could stay for none of it it was evident that charles hayter was not well inclined towards captain wentworth she had a strong impression of his having said in a vext tone of voice after captain wentworth interference you ought to have minded me walter i told you not to teaze your aunt and could comprehend his regretting that captain wentworth should do what he ought to have done himself but neither charles hayter feelings nor anybody feelings could interest her till she had a little better arranged her own she was ashamed of herself quite ashamed of being so nervous so overcome by such a trifle but so it was and it required a long application of solitude and reflection to recover her 
Chapter_15_p534,paragraph,mr elliot had called repeatedly had dined with them once evidently delighted by the distinction of being asked for they gave no dinners in general delighted in short by every proof of cousinly notice and placing his whole happiness in being on intimate terms in camden place 
Chapter_9_p288,paragraph,as to captain wentworth views she deemed it of more consequence that he should know his own mind early enough not to be endangering the happiness of either sister or impeaching his own honour than that he should prefer henrietta to louisa or louisa to henrietta either of them would in all probability make him an affectionate good humoured wife with regard to charles hayter she had delicacy which must be pained by any lightness of conduct in a well meaning young woman and a heart to sympathize in any of the sufferings it occasioned but if henrietta found herself mistaken in the nature of her feelings the alteration could not be understood too soon 
Chapter_23_p970,paragraph,there could not be an objection there could be only the most proper alacrity a most obliging compliance for public view and smiles reined in and spirits dancing in private rapture in half a minute charles was at the bottom of union street again and the other two proceeding together: and soon words enough had passed between them to decide their direction towards the comparatively quiet and retired gravel walk where the power of conversation would make the present hour a blessing indeed and prepare it for all the immortality which the happiest recollections of their own future lives could bestow there they exchanged again those feelings and those promises which had once before seemed to secure everything but which had been followed by so many many years of division and estrangement there they returned again into the past more exquisitely happy perhaps in their re union than when it had been first projected more tender more tried more fixed in a knowledge of each other character truth and attachment more equal to act more justified in acting and there as they slowly paced the gradual ascent heedless of every group around them seeing neither sauntering politicians bustling housekeepers flirting girls nor nursery maids and children they could indulge in those retrospections and acknowledgements and especially in those explanations of what had directly preceded the present moment which were so poignant and so ceaseless in interest all the little variations of the last week were gone through and of yesterday and today there could scarcely be an end 
Chapter_21_p792,paragraph, i beg your pardon my dear miss elliot she cried in her natural tone of cordiality i beg your pardon for the short answers i have been giving you but i have been uncertain what i ought to do i have been doubting and considering as to what i ought to tell you there were many things to be taken into the account one hates to be officious to be giving bad impressions making mischief even the smooth surface of family union seems worth preserving though there may be nothing durable beneath however i have determined i think i am right i think you ought to be made acquainted with mr elliot real character though i fully believe that at present you have not the smallest intention of accepting him there is no saying what may happen you might some time or other be differently affected towards him hear the truth therefore now while you are unprejudiced mr elliot is a man without heart or conscience a designing wary cold blooded being who thinks only of himself whom for his own interest or ease would be guilty of any cruelty or any treachery that could be perpetrated without risk of his general character he has no feeling for others those whom he has been the chief cause of leading into ruin he can neglect and desert without the smallest compunction he is totally beyond the reach of any sentiment of justice or compassion oh he is black at heart hollow and black 
Chapter_16_p570,paragraph,he looked as he spoke to the seat which mrs clay had been lately occupying: a sufficient explanation of what he particularly meant and though anne could not believe in their having the same sort of pride she was pleased with him for not liking mrs clay and her conscience admitted that his wishing to promote her father getting great acquaintance was more than excusable in the view of defeating her 
Chapter_8_p252,paragraph, depend upon it they were all perfectly comfortable 
Chapter_2_p28,paragraph,this was the principle on which anne wanted her father to be proceeding his friends to be urging him she considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure and saw no dignity in anything short of it she wanted it to be prescribed and felt as a duty she rated lady russell influence highly and as to the severe degree of self denial which her own conscience prompted she believed there might be little more difficulty in persuading them to a complete than to half a reformation her knowledge of her father and elizabeth inclined her to think that the sacrifice of one pair of horses would be hardly less painful than of both and so on through the whole list of lady russell too gentle reductions 
Chapter_12_p428,paragraph,they were not off the cobb before the harvilles met them captain benwick had been seen flying by their house with a countenance which showed something to be wrong and they had set off immediately informed and directed as they passed towards the spot shocked as captain harville was he brought senses and nerves that could be instantly useful and a look between him and his wife decided what was to be done she must be taken to their house all must go to their house and await the surgeon arrival there they would not listen to scruples: he was obeyed they were all beneath his roof and while louisa under mrs harville direction was conveyed up stairs and given possession of her own bed assistance cordials restoratives were supplied by her husband to all who needed them 
Chapter_23_p989,paragraph,it was in one of these short meetings each apparently occupied in admiring a fine display of greenhouse plants that she said 
Chapter_21_p759,paragraph,anne heard nothing of this she was still in the astonishment and confusion excited by her friend penetration unable to imagine how any report of captain wentworth could have reached her after another short silence 
Chapter_20_p690,paragraph,sir walter his two daughters and mrs clay were the earliest of all their party at the rooms in the evening and as lady dalrymple must be waited for they took their station by one of the fires in the octagon room but hardly were they so settled when the door opened again and captain wentworth walked in alone anne was the nearest to him and making yet a little advance she instantly spoke he was preparing only to bow and pass on but her gentle how do you do brought him out of the straight line to stand near her and make enquiries in return in spite of the formidable father and sister in the back ground their being in the back ground was a support to anne she knew nothing of their looks and felt equal to everything which she believed right to be done 
Chapter_10_p343,paragraph,the walking party had crossed the lane and were surmounting an opposite stile and the admiral was putting his horse in motion again when captain wentworth cleared the hedge in a moment to say something to his sister the something might be guessed by its effects 
